time [µs]	Amp[V]	HF [V]	TGC [dB]
35,3	0,013	-0,014	0,157
35,4	0,013	0,002	0,157
35,5	0,013	0,010	0,157
35,6	0,013	0,010	0,157
35,7	0,013	-0,006	0,000
35,8	0,014	-0,014	0,157
35,9	0,015	-0,006	0,157
36,0	0,015	0,010	0,157
36,1	0,014	0,010	0,157
36,2	0,011	0,010	0,157
36,3	0,009	-0,006	0,157
36,4	0,007	-0,006	0,157
36,5	0,008	-0,006	0,157
36,6	0,010	0,002	0,157
36,7	0,011	0,010	0,157
36,8	0,011	0,010	0,157
36,9	0,010	0,002	0,157
37,0	0,008	-0,006	0,157
37,1	0,006	-0,006	0,157
37,2	0,005	0,002	0,157
37,3	0,005	0,002	0,157
37,4	0,004	0,002	0,157
37,5	0,004	-0,006	0,157
37,6	0,005	0,002	0,157
37,7	0,009	0,002	0,157
37,8	0,016	-0,014	0,157
37,9	0,025	-0,021	0,157
38,0	0,033	0,002	0,157
38,1	0,038	0,034	0,157
38,2	0,039	0,034	0,000
38,3	0,037	-0,006	0,157
38,4	0,034	-0,029	0,157
38,5	0,029	-0,021	0,157
38,6	0,023	0,010	0,157
38,7	0,017	0,018	0,157
38,8	0,012	0,002	0,157
38,9	0,009	-0,006	0,157
39,0	0,007	-0,006	0,157
39,1	0,007	0,002	0,157
39,2	0,008	0,010	0,157
39,3	0,008	0,002	0,157
39,4	0,008	0,002	0,157
39,5	0,007	-0,006	0,157
39,6	0,006	-0,006	0,157
39,7	0,004	0,002	0,157
39,8	0,003	0,002	0,157
39,9	0,003	0,002	0,157
40,0	0,003	0,002	0,157
40,1	0,005	0,002	0,157
40,2	0,007	-0,006	0,157
40,3	0,008	-0,006	0,157
40,4	0,007	-0,006	0,157
40,5	0,006	0,002	0,157
40,6	0,004	0,002	0,157
40,7	0,004	0,002	0,157
40,8	0,005	0,002	0,157
40,9	0,007	-0,006	0,157
41,0	0,008	-0,006	0,157
41,1	0,007	-0,006	0,157
41,2	0,006	0,002	0,157
41,3	0,005	0,002	0,157
41,4	0,004	0,002	0,157
41,5	0,005	-0,006	0,157
41,6	0,005	0,002	0,157
41,7	0,005	-0,006	0,157
41,8	0,004	0,002	0,000
41,9	0,004	0,002	0,157
42,0	0,004	0,002	0,157
42,1	0,005	-0,006	0,157
42,2	0,006	0,002	0,157
42,3	0,007	0,002	0,157
42,4	0,006	-0,006	0,157
42,5	0,004	0,002	0,157
42,6	0,003	0,002	0,157
42,7	0,002	0,002	0,157
42,8	0,003	0,002	0,157
42,9	0,005	0,002	0,157
43,0	0,006	-0,006	0,157
43,1	0,007	-0,006	0,157
43,2	0,006	0,002	0,157
43,3	0,004	0,002	0,157
43,4	0,004	0,002	0,157
43,5	0,003	0,002	0,157
43,6	0,004	-0,006	0,157
43,7	0,004	0,002	0,157
43,8	0,005	0,002	0,157
43,9	0,005	0,002	0,157
44,0	0,005	-0,006	0,157
44,1	0,004	0,002	0,157
44,2	0,005	0,002	0,157
44,3	0,005	0,002	0,157
44,4	0,006	0,002	0,157
44,5	0,007	-0,006	0,157
44,6	0,007	0,002	0,157
44,7	0,008	0,010	0,157
44,8	0,010	0,002	0,157
44,9	0,011	-0,006	0,157
45,0	0,014	-0,014	0,157
45,1	0,016	-0,006	0,157
45,2	0,017	0,010	0,157
45,3	0,018	0,018	0,157
45,4	0,017	0,010	0,000
45,5	0,017	-0,006	0,157
45,6	0,016	-0,014	0,157
45,7	0,015	-0,014	0,157
45,8	0,014	0,002	0,157
45,9	0,013	0,010	0,157
46,0	0,012	0,010	0,157
46,1	0,010	-0,006	0,157
46,2	0,008	-0,006	0,157
46,3	0,006	-0,006	0,157
46,4	0,004	0,002	0,157
46,5	0,003	0,002	0,157
46,6	0,004	0,002	0,157
46,7	0,007	-0,006	0,157
46,8	0,009	-0,006	0,157
46,9	0,010	0,002	0,157
47,0	0,008	0,010	0,157
47,1	0,006	0,002	0,157
47,2	0,005	0,002	0,157
47,3	0,006	-0,006	0,157
47,4	0,008	-0,006	0,157
47,5	0,010	0,002	0,157
47,6	0,009	0,010	0,157
47,7	0,006	0,002	0,157
47,8	0,005	0,002	0,157
47,9	0,005	-0,006	0,157
48,0	0,008	-0,006	0,157
48,1	0,011	0,002	0,157
48,2	0,012	0,010	0,157
48,3	0,011	0,010	0,157
48,4	0,009	0,002	0,157
48,5	0,008	-0,006	0,157
48,6	0,009	-0,006	0,157
48,7	0,009	-0,006	0,157
48,8	0,008	0,010	0,157
48,9	0,007	0,002	0,157
49,0	0,005	0,002	0,157
49,1	0,005	0,002	0,157
49,2	0,006	-0,006	0,157
49,3	0,006	-0,006	0,157
49,4	0,006	0,002	0,157
49,5	0,005	0,002	0,157
49,6	0,003	0,002	0,157
49,7	0,002	0,002	0,157
49,8	0,003	0,002	0,157
49,9	0,005	-0,006	0,157
50,0	0,006	0,002	0,157
50,1	0,006	-0,006	0,157
50,2	0,005	0,002	0,157
50,3	0,004	0,002	0,157
50,4	0,003	0,002	0,157
50,5	0,003	0,002	0,157
50,6	0,004	0,002	0,157
50,7	0,005	0,002	0,157
50,8	0,005	-0,006	0,157
50,9	0,005	0,002	0,157
51,0	0,004	0,002	0,157
51,1	0,003	0,002	0,157
51,2	0,002	0,002	0,157
51,3	0,002	0,002	0,157
51,4	0,002	0,002	0,157
51,5	0,003	0,002	0,157
51,6	0,003	0,002	0,157
51,7	0,002	0,002	0,157
51,8	0,002	0,002	0,157
51,9	0,002	0,002	0,157
52,0	0,003	0,002	0,157
52,1	0,004	0,002	0,157
52,2	0,005	0,002	0,157
52,3	0,005	-0,006	0,157
52,4	0,004	0,002	0,157
52,5	0,003	0,002	0,157
52,6	0,002	0,002	0,157
52,7	0,003	0,002	0,157
52,8	0,004	0,002	0,157
52,9	0,005	-0,006	0,157
53,0	0,005	0,002	0,157
53,1	0,004	0,002	0,157
53,2	0,002	0,002	0,157
53,3	0,001	0,002	0,157
53,4	0,002	0,002	0,157
53,5	0,004	0,002	0,157
53,6	0,005	0,002	0,157
53,7	0,005	-0,006	0,157
53,8	0,005	0,002	0,157
53,9	0,004	0,002	0,157
54,0	0,003	0,002	0,157
54,1	0,004	-0,006	0,157
54,2	0,005	0,002	0,157
54,3	0,006	-0,006	0,157
54,4	0,006	0,002	0,157
54,5	0,006	0,002	0,157
54,6	0,007	0,010	0,157
54,7	0,007	0,002	0,157
54,8	0,008	0,002	0,157
54,9	0,008	-0,006	0,157
55,0	0,006	-0,006	0,157
55,1	0,004	0,002	0,157
55,2	0,003	0,002	0,157
55,3	0,003	0,002	0,157
55,4	0,004	0,002	0,157
55,5	0,006	-0,006	0,157
55,6	0,007	-0,006	0,157
55,7	0,007	0,002	0,157
55,8	0,005	0,002	0,157
55,9	0,003	0,002	0,157
56,0	0,002	0,002	0,157
56,1	0,002	0,002	0,157
56,2	0,003	0,002	0,157
56,3	0,003	0,002	0,157
56,4	0,002	0,002	0,157
56,5	0,001	0,002	0,157
56,6	0,002	0,002	0,157
56,7	0,003	0,002	0,157
56,8	0,005	0,002	0,157
56,9	0,005	-0,006	0,157
57,0	0,004	0,002	0,157
57,1	0,003	0,002	0,157
57,2	0,002	0,002	0,157
57,3	0,003	0,002	0,157
57,4	0,004	0,002	0,157
57,5	0,005	-0,006	0,157
57,6	0,005	0,002	0,157
57,7	0,004	0,002	0,157
57,8	0,003	0,002	0,157
57,9	0,002	0,002	0,157
58,0	0,002	0,002	0,157
58,1	0,002	0,002	0,157
58,2	0,002	0,002	0,157
58,3	0,002	0,002	0,157
58,4	0,003	0,002	0,157
58,5	0,004	0,002	0,157
58,6	0,004	0,002	0,157
58,7	0,005	-0,006	0,157
58,8	0,005	0,002	0,157
58,9	0,004	0,002	0,157
59,0	0,004	0,002	0,157
59,1	0,004	-0,006	0,157
59,2	0,005	0,002	0,157
59,3	0,006	-0,006	0,157
59,4	0,005	0,002	0,157
59,5	0,004	0,002	0,157
59,6	0,003	0,002	0,157
59,7	0,002	0,002	0,157
59,8	0,002	0,002	0,157
59,9	0,003	0,002	0,157
60,0	0,004	0,002	0,157
60,1	0,005	-0,006	0,157
60,2	0,006	0,002	0,157
60,3	0,006	-0,006	0,157
60,4	0,005	0,002	0,157
60,5	0,004	0,002	0,157
60,6	0,003	0,002	0,157
60,7	0,003	0,002	0,157
60,8	0,004	0,002	0,157
60,9	0,005	-0,006	0,157
61,0	0,005	0,002	0,157
61,1	0,005	0,002	0,157
61,2	0,004	0,002	0,157
61,3	0,003	0,002	0,157
61,4	0,003	0,002	0,157
61,5	0,002	0,002	0,157
61,6	0,002	0,002	0,157
61,7	0,002	0,002	0,157
61,8	0,003	0,002	0,157
61,9	0,003	0,002	0,157
62,0	0,004	0,002	0,157
62,1	0,005	-0,006	0,157
62,2	0,005	0,002	0,157
62,3	0,004	0,002	0,157
62,4	0,005	0,002	0,157
62,5	0,005	-0,006	0,157
62,6	0,005	0,002	0,157
62,7	0,005	0,002	0,157
62,8	0,005	0,002	0,157
62,9	0,004	0,002	0,157
63,0	0,003	0,002	0,157
63,1	0,003	0,002	0,157
63,2	0,003	0,002	0,157
63,3	0,003	0,002	0,157
63,4	0,003	0,002	0,157
63,5	0,003	0,002	0,157
63,6	0,003	0,002	0,157
63,7	0,003	0,002	0,157
63,8	0,003	0,002	0,157
63,9	0,003	0,002	0,157
64,0	0,003	0,002	0,157
64,1	0,003	0,002	0,157
64,2	0,003	0,002	0,157
64,3	0,003	0,002	0,157
64,4	0,003	0,002	0,157
64,5	0,003	0,002	0,157
64,6	0,003	0,002	0,157
64,7	0,003	0,002	0,157
64,8	0,002	0,002	0,157
64,9	0,002	0,002	0,157
65,0	0,003	0,002	0,157
65,1	0,004	0,002	0,157
65,2	0,005	0,002	0,157
65,3	0,005	-0,006	0,157
65,4	0,005	0,002	0,157
65,5	0,005	0,002	0,157
65,6	0,004	0,002	0,157
65,7	0,003	0,002	0,157
65,8	0,003	0,002	0,157
65,9	0,003	0,002	0,157
66,0	0,003	0,002	0,157
66,1	0,004	0,002	0,157
66,2	0,005	0,002	0,157
66,3	0,006	0,002	0,157
66,4	0,005	-0,006	0,157
66,5	0,004	0,002	0,157
66,6	0,003	0,002	0,157
66,7	0,002	0,002	0,157
66,8	0,002	0,002	0,157
66,9	0,002	0,002	0,157
67,0	0,003	0,002	0,157
67,1	0,004	0,002	0,157
67,2	0,005	0,002	0,157
