time [µs]	Amp[V]	HF [V]	TGC [dB]
49,4	0,012	-0,005	0,157
49,5	0,013	-0,013	0,157
49,6	0,012	-0,005	0,157
49,7	0,011	0,003	0,157
49,8	0,009	0,011	0,157
49,9	0,008	0,003	0,000
50,0	0,007	-0,005	0,157
50,1	0,007	-0,005	0,157
50,2	0,007	-0,005	0,157
50,3	0,006	0,003	0,157
50,4	0,004	0,003	0,157
50,5	0,004	0,003	0,157
50,6	0,004	0,003	0,157
50,7	0,006	-0,005	0,157
50,8	0,007	-0,005	0,157
50,9	0,007	0,003	0,157
51,0	0,006	0,003	0,157
51,1	0,004	0,003	0,157
51,2	0,003	0,003	0,157
51,3	0,003	0,003	0,157
51,4	0,003	0,003	0,157
51,5	0,003	0,003	0,157
51,6	0,003	0,003	0,157
51,7	0,003	0,003	0,157
51,8	0,003	0,003	0,157
51,9	0,003	0,003	0,157
52,0	0,003	0,003	0,157
52,1	0,004	0,003	0,157
52,2	0,005	0,003	0,157
52,3	0,005	-0,005	0,157
52,4	0,005	0,003	0,157
52,5	0,005	-0,005	0,157
52,6	0,005	0,003	0,157
52,7	0,005	0,003	0,157
52,8	0,004	0,003	0,157
52,9	0,003	0,003	0,157
53,0	0,003	0,003	0,157
53,1	0,003	0,003	0,157
53,2	0,003	0,003	0,157
53,3	0,003	0,003	0,157
53,4	0,003	0,003	0,157
53,5	0,003	0,003	0,157
53,6	0,003	0,003	0,157
53,7	0,002	0,003	0,157
53,8	0,003	0,003	0,157
53,9	0,004	0,003	0,157
54,0	0,005	0,003	0,157
54,1	0,006	0,003	0,157
54,2	0,006	-0,005	0,157
54,3	0,006	-0,005	0,157
54,4	0,005	0,003	0,157
54,5	0,005	0,003	0,157
54,6	0,004	0,003	0,157
54,7	0,004	-0,005	0,157
54,8	0,004	0,003	0,157
54,9	0,004	0,003	0,157
55,0	0,004	0,003	0,157
55,1	0,004	0,003	0,157
55,2	0,004	0,003	0,157
55,3	0,004	-0,005	0,157
55,4	0,004	0,003	0,157
55,5	0,005	0,003	0,157
55,6	0,005	0,003	0,157
55,7	0,005	-0,005	0,157
55,8	0,005	0,003	0,157
55,9	0,004	0,003	0,157
56,0	0,003	0,003	0,157
56,1	0,003	0,003	0,157
56,2	0,005	0,003	0,157
56,3	0,006	0,003	0,157
56,4	0,007	-0,005	0,157
56,5	0,006	-0,005	0,157
56,6	0,005	0,003	0,157
56,7	0,004	0,003	0,157
56,8	0,004	0,003	0,157
56,9	0,005	0,003	0,157
57,0	0,006	-0,005	0,157
57,1	0,006	-0,005	0,157
57,2	0,005	0,003	0,157
57,3	0,004	0,003	0,157
57,4	0,003	0,003	0,157
57,5	0,003	0,003	0,157
57,6	0,003	0,003	0,157
57,7	0,002	0,003	0,157
57,8	0,003	0,003	0,157
57,9	0,004	0,003	0,157
58,0	0,005	0,003	0,157
58,1	0,006	0,003	0,157
58,2	0,007	0,003	0,157
58,3	0,013	-0,013	0,157
58,4	0,030	-0,021	0,157
58,5	0,061	0,026	0,157
58,6	0,107	0,105	0,157
58,7	0,159	0,026	0,157
58,8	0,207	-0,178	0,157
58,9	0,242	-0,194	0,157
59,0	0,258	0,066	0,157
59,1	0,257	0,247	0,157
59,2	0,246	0,160	0,157
59,3	0,229	-0,084	0,157
59,4	0,209	-0,210	0,157
59,5	0,188	-0,107	0,157
59,6	0,167	0,074	0,157
59,7	0,145	0,145	0,000
59,8	0,126	0,058	0,157
59,9	0,109	-0,068	0,157
60,0	0,094	-0,092	0,157
60,1	0,081	-0,021	0,157
60,2	0,071	0,050	0,157
60,3	0,061	0,058	0,157
60,4	0,053	0,019	0,000
60,5	0,047	-0,037	0,157
60,6	0,042	-0,037	0,157
60,7	0,038	-0,013	0,157
60,8	0,034	0,026	0,157
60,9	0,029	0,026	0,157
61,0	0,023	0,003	0,000
61,1	0,017	-0,013	0,157
61,2	0,013	-0,013	0,157
61,3	0,011	-0,005	0,157
61,4	0,010	0,003	0,157
61,5	0,009	0,011	0,000
61,6	0,008	0,003	0,000
61,7	0,007	-0,005	0,157
61,8	0,007	-0,005	0,157
61,9	0,007	-0,005	0,157
62,0	0,008	0,003	0,157
62,1	0,010	0,011	0,157
62,2	0,010	0,003	0,157
62,3	0,008	-0,005	0,157
62,4	0,007	-0,005	0,157
62,5	0,005	-0,005	0,157
62,6	0,004	0,003	0,157
62,7	0,005	0,003	0,157
62,8	0,005	0,003	0,157
62,9	0,006	-0,005	0,157
63,0	0,007	-0,005	0,157
63,1	0,007	-0,005	0,157
63,2	0,007	-0,005	0,157
63,3	0,006	0,003	0,157
63,4	0,006	0,003	0,157
63,5	0,006	0,003	0,157
63,6	0,005	-0,005	0,157
63,7	0,005	0,003	0,157
63,8	0,004	0,003	0,157
63,9	0,004	0,003	0,157
64,0	0,004	0,003	0,157
64,1	0,003	0,003	0,157
64,2	0,003	0,003	0,157
64,3	0,002	0,003	0,157
64,4	0,003	0,003	0,157
64,5	0,004	0,003	0,157
64,6	0,004	0,003	0,157
64,7	0,005	0,003	0,157
64,8	0,005	-0,005	0,157
64,9	0,004	0,003	0,157
65,0	0,004	0,003	0,157
65,1	0,004	0,003	0,157
65,2	0,005	0,003	0,157
65,3	0,005	-0,005	0,157
65,4	0,004	0,003	0,157
65,5	0,004	0,003	0,157
65,6	0,003	0,003	0,157
65,7	0,004	0,003	0,157
65,8	0,005	0,003	0,157
65,9	0,005	-0,005	0,157
66,0	0,005	0,003	0,157
66,1	0,005	0,003	0,157
66,2	0,005	0,003	0,157
66,3	0,006	0,003	0,157
66,4	0,006	-0,005	0,157
66,5	0,006	-0,005	0,157
66,6	0,005	0,003	0,157
66,7	0,004	0,003	0,157
66,8	0,004	0,003	0,157
66,9	0,005	0,003	0,157
67,0	0,006	-0,005	0,157
67,1	0,006	-0,005	0,157
67,2	0,005	0,003	0,157
67,3	0,004	0,003	0,157
67,4	0,003	0,003	0,157
67,5	0,004	0,003	0,157
67,6	0,005	0,003	0,157
67,7	0,007	-0,005	0,157
67,8	0,007	-0,005	0,157
67,9	0,006	-0,005	0,157
68,0	0,005	0,003	0,157
68,1	0,005	0,003	0,157
68,2	0,005	0,003	0,157
68,3	0,006	0,003	0,157
68,4	0,005	-0,005	0,157
68,5	0,004	0,003	0,157
68,6	0,003	0,003	0,157
68,7	0,003	0,003	0,157
68,8	0,004	0,003	0,157
68,9	0,005	0,003	0,157
69,0	0,005	-0,005	0,157
69,1	0,004	0,003	0,157
69,2	0,005	0,003	0,157
69,3	0,006	0,003	0,157
69,4	0,009	-0,005	0,157
69,5	0,012	-0,013	0,157
69,6	0,013	-0,005	0,157
69,7	0,011	0,003	0,157
69,8	0,009	0,011	0,157
69,9	0,006	0,003	0,000
70,0	0,006	0,003	0,157
70,1	0,006	-0,005	0,157
70,2	0,007	-0,005	0,157
70,3	0,007	-0,005	0,157
70,4	0,006	0,003	0,157
70,5	0,005	0,003	0,157
70,6	0,004	0,003	0,157
70,7	0,005	0,003	0,157
70,8	0,006	-0,005	0,157
70,9	0,007	-0,005	0,157
71,0	0,006	0,003	0,157
71,1	0,005	0,003	0,157
71,2	0,004	0,003	0,157
71,3	0,003	0,003	0,157
71,4	0,003	0,003	0,157
71,5	0,003	0,003	0,157
71,6	0,003	0,003	0,157
71,7	0,003	0,003	0,157
71,8	0,003	0,003	0,157
71,9	0,003	0,003	0,157
72,0	0,004	0,003	0,157
72,1	0,005	-0,005	0,157
